review,reviewer_name
"The movie is more entertaining than it is haunting, and with Shyamalan, I'm greedy enough to want both, like in his best movies",Michael Smith
"February 13, 2019",Federico Furzan
Jackson's unfailing screen presence is just the kick in the pants Shyamalan's uneven screenplay requires to come to life.,J. Olson
"What could have been a stellar ending to this trilogy, was only just a fine one. I also really wanted more of Bruce Willis.",Lauren Veneziani
"The Sixth Sense, The Visit and Split showed that Shyamalan has real talent as a director of suspense, and there are sparks of that here, yet the film strains for your attention and stumbles with a very awkward ending.",Jim Schembri
"With a movie jumping from character to character so often, it just didn't have flow or pacing or tone.",Perri Nemiroff
"The filmmaking is a little pedestrian, and one scene - in which Ana puts on a cheery face as she dances for her delighted former pupils - goes on far too long, but this is a compelling and not very well known story...",Anton Bitel
a largely entertaining action thriller that doesn't go exactly where you expect it go and indulges in quite a bit of meta-commentary on the nature of comic book narratives.,James Kendrick
"Shyamalan is going to do what he always does, erecting the scaffolding of the story around one tenuous idea until it comes crashing down because of the...THE TWIST.",Eli Glasner
"Con Anya Taylor-Joy, uno de los puntos más fuertes de Fragmentado, relegada a un rol casi figurante, Glass pierde la oportunidad de ahondar en el conflicto de su antecesora a cambio de un ""choque superhéroe"" intranscendente.",Julio Fernando Navas
"19 years in the making, James McCoy is the real star of GLASS, which has a captivating first act, but then it slips into a cliche of its genre, only to pick up steam within the last 45 minutes",Carla Renata
"It'd be nice to report that Glass is over-flowing with promise, or that Shyamalan has once again found his groove, but the truth is that Glass is...bone-dry.",Tom Santilli
"The central concepts in ""Glass"" are laughable, with a script that regularly descends into self-parody to such an extent that it's hard to envision an actual parody to this movie.",Andrea Thompson
"What's disappointing isn't that Shyamalan chose not to make Unbreakable 2; it's that what began so successfully with Unbreakable has devolved into such thoroughly unsatisfying pulp, void of any real humanity.",Adam Kempenaar
"I liked the twist ending...it was definitely not like The Village, which had a forced twist ending.",Tony Baker
"The obvious limitations of the film's budget for expensive visual effects made the movie focus more on the analytical dissection of what we've come to expect and love about super hero stories. The twist is, it worked.",Alachia Queen
"A disastrous, unearned and disappointing ending derails what at first felt as a decent, satisfactory conclusion to the trilogy. [Full review in Spanish]",Fico Cangiano
A full-fledged requiem that Syamalan executes as if it were his testament. [Full Review in Spanish],Fausto Fernandez
Bruce Willis is sleepwalking through this movie.,Martin Thomas
We know that we're watching a comic book movie... [it] suffers from just being too self aware.,Korey Coleman
Perhaps the biggest tragedy of Glass is how short it falls of its own potential.,Cian Geoghegan
"January 29, 2019",Rosie Knight
I went with it... I thought this was Shyamalan's best film since Signs.,Mark Kermode
