critic,review,date
Deborah Ross,"The first two movies had heart, charm, wit, originality, parfait and, most unusually for an animation, characters you could properly care about. This, though, has very little of any of the above, and it breaks my heart.","August 22, 2018"
Brandy McDonnell,"August 14, 2018",
Tony Delgado,"With a plot lacking no urgency, Shrek 3 is a well-animated film containing a few standout, but ultimately throwaway sequences that don't do enough to sustain our interest.","July 6, 2010"
Fernando F. Croce,Computer-animated ugliness,"August 27, 2009"
Peter Keough,"From its humble, elegant origins as a slim children's book by William Steig, Shrek has metastasized into a symptom of and metaphor for the entertainment industry and modern culture in general.","April 23, 2009"
Tony Macklin,"Shrek the Third has the curse of the third in a bankable series. It is too often sappy, tiresome, and overblown. A franchise such as Shrek, with all the money it has accumulated, should be able to buy a little freshness and originality. But instead","February 2, 2009"
Bob Mondello,"Apart from some modestly amusing princess shtick and a pleasantly slapsticky opening, there's no real reason for anyone over the age of 11 to see this one.","October 18, 2008"
John J. Puccio,"The best thing it has going for it is its look, which is stunning.","September 20, 2008"
Rossiter Drake,"Though the devious wit of the original remains, it is obscured by too many classic-rock interludes (courtesy of Led Zeppelin, Heart and Paul McCartney) and nudging pop-culture references that seem by now just part of the formula.","April 10, 2008"
David Ansen,"This is a very skillfully made corporate product, but I wonder who, exactly, will be fully satisfied.","April 7, 2008"
Jeff Bayer,"The problem with this film is that after a quick, fun beginning they repeat a similar journey from the first film. Except this time, Shrek and Artie argue instead of Shrek and Fiona.","March 3, 2008"
Kamal 'The Diva' Larsuel,"Your kids may enjoy it, but you would do better to wait for the video.","February 1, 2008"
Bruce Bennett,Feels refreshed and might be -- especially for relieved parents -- the most entertaining film of the franchise.,"January 2, 2008"
Ryan Cracknell,"While there are times of moderate amusement, Shrek the Third offers few surprises. It seems as though perhaps the creators have found their stride and are calling it in more than going out on a limb.","November 18, 2007"
Sandie Angulo Chen,Princess power saves the day for ogre and pals.,"October 31, 2007"
Joseph Proimakis,"To trito sequel mias ap' tis pio dimofileis mythologies stin istoria toy animation, poy apodeiknyetai pera apo ahreiasto, olotela eisitiriothiriko kai safos katotero tis istorias toy kleisimo enos franchise poy ehei, ap' o,ti fainetai, pia eksantlithei.","October 14, 2007"
Adam Fendelman,"Shrek the Third, which vigilantly flirts with the grey matter between child's play and adult humor, creates curious questions for children while bringing back beloved characters for another joyride in Far Far Away.","September 21, 2007"
Tim Brayton,It's far too open in its desires (MAKING MONEY) to be hate-worthy.,"September 14, 2007"
Francesca Rudkin,"The humour seems to be aimed more at adults, which is good news for those being dragged along by their children, and even though it's disappointing, there's still plenty to smile at.","September 1, 2007"
Scott Chitwood,The film has little new to offer and the trailers show most of the funny moments.,"August 4, 2007"
Rob Gonsalves,Any film with the wherewithal to cast Ian McShane as Captain Hook has more going for it than flatulence.,"July 23, 2007"
Kevin Williamson,"July 14, 2007",
Joe Lozito,It might be best to let the big guy live happily ever after.,"July 14, 2007"
Mark Kermode,"On this evidence, thrice is definitely enough.","July 7, 2007"
